1.2,252.92,254.11999999999998,Gaaaaay 
2.0,254.12,256.12,Oh that s real creative oh that s ya ho
1.08,256.26,257.34, breaths in You okay Pewdie 
0.5,257.34,257.84,ah
2.0,257.84,259.84,My number one insecurity
1.26,259.84,261.09999999999997,About being gay
1.44,261.1,262.54,How did you know about it 
1.36,262.78,264.14, Pewdiepie is gay 
2.0,264.14,266.14, He should have never existed 
1.94,266.14,268.08, sad piano music begins playing Pewdiepie should kill himself 
1.52,268.08,269.59999999999997, Or quit youtube 
1.68,269.6,271.28000000000003, Screw the bro army 
3.34,271.28,274.61999999999995, The bros are fat and should also kill themselves 
2.48,274.8,277.28000000000003, Brofist more like gayfist How fucking dare you O 
2.92,277.52,280.44, Brofist more like gayfist 
1.7,280.44,282.14,THE ROASTS
1.5,282.14,283.64,I CAN T HANDLE THEM
2.82,283.64,286.46,Some random kid A thousand dollars off of each one
2.12,286.46,288.58, Sad Pewdiepie Now tell me that is fair
1.54,288.6,290.14000000000004,Yeah it isn t
1.5,290.14,291.64,S stop
3.72,291.8,295.52000000000004,I gotta say pewdiepie can be funny Wait a second 
0.86,295.52,296.38,Wha 
1.0,296.56,297.56,Wha the fu 
2.24,297.56,299.8,MAKE UP YOUR GOD DAMN MIND DUDE 
3.08,299.8,302.88, Oh god not again THE FUCK YOU PLAYING ME S SOM SOME KIND OF GAME 
4.96,303.08,308.03999999999996,Pewdiepie hater 9 552 I fricken don t want to see poodiepie on my front page at my youtube thing
2.04,308.04,310.08000000000004,Every fuckin day
2.26,310.08,312.34,I m sick and tired of it
2.0,312.34,314.34,Motherfucke 
2.0,314.34,316.34, Hits camera with keyboard 
2.0,316.34,318.34, Laughter while dude has a passive rage 
2.82,320.3,323.12, breaths in Ah dude
3.22,323.12,326.34000000000003,Professional Roaster Pewdiepie are you fucking kidding me 
3.6,327.64,331.24, I can t fuckin stand you you sonava Son of a bitch 
1.9,331.24,333.14,I think this guy s actually legit
2.98,333.32,336.3, You re fucking useless youtuber you little cunt 
1.94,336.3,338.24,Woa Woa Heyyy
1.06,338.32,339.38,Heyyy
2.92,339.38,342.3, You make fuckin shitty content you faggot 
3.08,342.3,345.38,Jesus christ this guys is fucking blazing me
3.08,345.4,348.47999999999996, You delete your youtube channel you faggot 
2.0,348.48,350.48,Pewds No Roastignkid1907 You make thousand of dollars
1.36,350.48,351.84000000000003,Maybe million of doll 
2.0,352.48,354.48,Thousands of dollars 
1.74,355.28,357.02,That s cute laughs 
2.56,357.5,360.06, Music begins in background 
2.78,360.06,362.84, Ear Rape coming up you ve been warned Are you Fuckin kidding me and they re not even good
2.38,362.88,365.26,YOU FUCKING FAGGAAAAAAT
0.9,367.2,368.09999999999997,Jesus Not done yet o o 
2.84,368.82,371.65999999999997,KILL YOURSEEEEE
1.38,371.66,373.04, gasping 
2.74,373.58,376.32,aah Destroyed
2.0,376.32,378.32, Face of a defeated man 
2.0,378.32,380.32,I have been destroyed
2.0,380.32,382.32,Everything I worked so hard to create
1.12,382.32,383.44, Low pitched screeching 
1.26,386.56,387.82,My Youtube channel
1.46,390.64,392.09999999999997,It s over
1.46,392.1,393.56, Look at what you have done ___ 
1.42,393.56,394.98,I give up
1.54,394.98,396.52000000000004,Roasting kid
0.52,396.52,397.03999999999996, Continued low pitch screeching 
0.74,397.36,398.1,1907
0.88,398.1,398.98, Panda sex 
2.0,398.98,400.98,Has won
2.0,400.98,402.98,The war 
2.0,402.98,404.98,Malcolm PewDiePie hates you 
2.0,406.0,408.0,Robot PewDiePie should kill himself
2.08,408.0,410.08, Sad PewdiePie is sad 
2.0,410.9,412.9,PewDiePie he s just 
2.0,413.44,415.44,a a turd 
1.52,415.44,416.96, The words a turd echoing in the background 
5.02,417.14,422.15999999999997, Screeching slowly becoming more and more muffled 
1.0,423.88,424.88, Triple H s time to play the game begins in the background 
1.48,425.02,426.5,Alright listen up you fucking haters O shit 
2.0,426.5,428.5,I don t care who you are
2.0,428.5,430.5,I don t care what your name is
2.0,430.5,432.5,I don t care what your age is
2.0,432.5,434.5,If you re a PewDiePie hater 
2.0,434.5,436.5,I will come to your house
2.0,436.5,438.5,And I will smash your mum s ass 
2.0,438.5,440.5,Sorry I will smash your
2.0,440.5,442.5,Door in and I will
0.98,442.5,443.48,Eat up your pet 
1.58,443.48,445.06,And I will
2.0,445.06,447.06,Pee on your I will fart on your Getting there Pewds 
2.0,447.06,449.06,God da I will fart on your pillow There you go 
2.0,449.06,451.06,Fuck you To all the haters
2.92,451.44,454.36,You can go and unsubscribe
0.52,454.36,454.88,to yourself OOOOOOOOOOOOOOOOO 
2.0,456.14,458.14, Laughs 
2.0,459.62,461.62,Oh that s so bad
2.0,461.62,463.62,Ah I love it 3
5.52,0.0,5.52, Triple H s Time to play the game begins in the background 
3.5,5.52,9.02, Hater blocking face 
7.22,9.02,16.24,Ya ll think I care Do I Iook like I give a shit I am the coolest motherfucker on this planet
5.34,16.38,21.72,Do you think some little kids spouting shit online is going to make me quit 
2.88,21.9,24.779999999999998,FUCK YOU for even thinking that for a second
