,duration,start,end,text,emotion,nature
109,3.34,271.28,274.61999999999995, The bros are fat and should also kill themselves ,worry,hate_speech
138,3.08,345.4,348.48, You delete your youtube channel you faggot ,worry,hate_speech
147,2.84,368.82,371.66,KILL YOURSEEEEE,worry,hate_speech
